conceito_atual,conceito_ctc,conceito_rec,q2_q5,itens_q2_q5,itens_q3_q4,docentes_ano_2001_2003,docentes_ano_2004_2006,docentes_ano_2001_2006,Teses_2001_2003,Diss_2001_2003,Teses_2004_2006,Diss_2004_2006,Teses_2001_2006,Diss_2001_2006,di_te_2001_2003,di_te_2004_2006,di_te_2001_2006,egressos_mestrado_97_01,egr_m_tit_dou_97_01,n_esp_dout_97_01,escore_1,egressos_dout_97_03,egressos_doc_ppg_97_03,n_esp_doc_ppg_97_03,Escore_2,doc_ies_dif,perc_doc_dif_doc_ppg,bolsistas_prod,docentes,perc_bols_doc,Escore_3,sigla_IES,id_instituicao
3,3.0,3.0,3.4,3.695,3.7,29,27,56,0,19,0,15,0.0,34.0,,,,,,,,,,,,,,3.0,7.0,42.85714286,38.95519317,,
3,3.0,,3.3,3.285,3.5,0,11,11,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
3,3.0,,3.3,3.42,3.45,10,36,46,0,0,0,3,0.0,3.0,,,,,,,,,,,,,,1.0,10.0,10.0,6.48208556,,
3,3.0,,3.0,3.26,3.25,0,31,31,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,0.0,10.0,0.0,,,
3,3.0,,3.4,3.455,3.225,7,37,44,0,0,0,9,0.0,9.0,,,,,,,,,,,,,,1.0,10.0,10.0,6.48208556,,
3,3.0,,3.0,3.015,3.0,0,9,9,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
3,3.0,,3.1,3.14,2.875,13,30,43,0,9,0,10,0.0,19.0,,,,3.0,0.0,0.321,,,,,,,,1.0,7.0,14.28571429,17.87568114,,
3,3.0,3.0,3.1,3.19,2.85,13,47,60,0,0,0,4,0.0,4.0,,,,,,,,,,,,,,9.0,15.0,60.0,58.02030779,,
3,2.0,2.0,2.3,2.66,2.45,29,42,71,0,19,0,17,0.0,36.0,,,,16.0,1.0,2.911,,,,,,,,0.0,14.0,0.0,,,
7,7.0,,5.0,4.96,5.0,108,128,236,61,65,101,61,162.0,126.0,1.06557377,0.603960396,0.777777778,113.0,89.0,28.487,95.85247678,142.0,36.0,44.11,43.58820932,35.0,97.22222222,20.0,35.0,57.14285714,68.44375994,,
